Vernacular name,International name,Scientific name,Category,Sort
Chough,Red-billed Chough,Pyrrhocorax pyrrhocorax,AE,360
Magpie,Eurasian Magpie,Pica pica,A,361
Jay,Eurasian Jay,Garrulus glandarius,A,362
Nutcracker,Spotted Nutcracker,Nucifraga caryocatactes,A,363
Jackdaw,Western Jackdaw,Corvus monedula,A,364
Rook,,Corvus frugilegus,A,365
Carrion Crow,,Corvus corone,A,366
Hooded Crow,,Corvus cornix,A,367
Raven,Northern Raven,Corvus corax,A,368
Goldcrest,,Regulus regulus,A,369
Firecrest,Common Firecrest,Regulus ignicapilla,A,370
Penduline Tit,Eurasian Penduline Tit,Remiz pendulinus,A,371
Blue Tit,Eurasian Blue Tit,Cyanistes caeruleus,A,372
Great Tit,,Parus major,A,373
Crested Tit,European Crested Tit,Lophophanes cristatus,A,374
Coal Tit,,Periparus ater,A,375
Willow Tit,,Poecile montanus,A,376
Marsh Tit,,Poecile palustris,A,377
Bearded Tit,Bearded Reedling,Panurus biarmicus,A,378
Woodlark,,Lullula arborea,A,379
White-winged Lark,,Alauda leucoptera,A,380
Skylark,Eurasian Skylark,Alauda arvensis,A,381
Crested Lark,,Galerida cristata,AE,382
Shore Lark,Horned Lark,Eremophila alpestris,A,383
Short-toed Lark,Greater Short-toed Lark,Calandrella brachydactyla,A,384
Bimaculated Lark,,Melanocorypha bimaculata,A,385
Calandra Lark,,Melanocorypha calandra,A,386
Black Lark,,Melanocorypha yeltoniensis,A,387
Lesser Short-toed Lark,,Alaudala rufescens,A,388
Sand Martin,,Riparia riparia,A,389
Tree Swallow,,Tachycineta bicolor,A,390
Purple Martin,,Progne subis,A,391
Crag Martin,Eurasian Crag Martin,Ptyonoprogne rupestris,A,392
Swallow,Barn Swallow,Hirundo rustica,AE,393
House Martin,Common House Martin,Delichon urbicum,A,394
Red-rumped Swallow,,Cecropis daurica,A,395
Cliff Swallow,American Cliff Swallow,Petrochelidon pyrrhonota,A,396
Cetti's Warbler,,Cettia cetti,A,397
Long-tailed Tit,,Aegithalos caudatus,A,398
Eastern Crowned Warbler,,Phylloscopus coronatus,A,399
Green Warbler,,Phylloscopus nitidus,A,400
Greenish Warbler,Greenish/Two-barred Warbler,Phylloscopus trochiloides,A,401
Arctic Warbler,,Phylloscopus borealis,A,402
Pallas's Warbler,Pallas's Leaf Warbler,Phylloscopus proregulus,A,403
Yellow-browed Warbler,,Phylloscopus inornatus,A,404
Hume's Warbler,Hume's Leaf Warbler,Phylloscopus humei,A,405
Radde's Warbler,,Phylloscopus schwarzi,A,406
Dusky Warbler,,Phylloscopus fuscatus,A,407
Western Bonelli's Warbler,,Phylloscopus bonelli,A,408
Eastern Bonelli's Warbler,,Phylloscopus orientalis,A,409
Wood Warbler,,Phylloscopus sibilatrix,A,410
Chiffchaff,Common Chiffchaff,Phylloscopus collybita,A,411
Iberian Chiffchaff,,Phylloscopus ibericus,A,412
Willow Warbler,,Phylloscopus trochilus,A,413
Blackcap,Eurasian Blackcap,Sylvia atricapilla,A,414
Garden Warbler,,Sylvia borin,A,415
Desert Warbler,Asian Desert Warbler,Sylvia nana,A,416
Barred Warbler,,Sylvia nisoria,A,417
Lesser Whitethroat,,Sylvia curruca,A,418
Western Orphean Warbler,,Sylvia hortensis,A,419
Rüppell's Warbler,,Sylvia ruppeli,A,420
Sardinian Warbler,,Sylvia melanocephala,A,421
Moltoni's Subalpine Warbler,Moltoni's Warbler,Sylvia subalpina,A,422
Subalpine Warbler,Eastern & Western Subalpine Warblers,Sylvia cantillans,A,423
Whitethroat,Common Whitethroat,Sylvia communis,A,424
Spectacled Warbler,,Sylvia conspicillata,A,425
Marmora's Warbler,,Sylvia sarda,A,426
Dartford Warbler,,Sylvia undata,A,427
Pallas's Grasshopper Warbler,,Locustella certhiola,A,428
Lanceolated Warbler,,Locustella lanceolata,A,429
Grasshopper Warbler,Common Grasshopper Warbler,Locustella naevia,A,430
River Warbler,,Locustella fluviatilis,A,431
Savi's Warbler,,Locustella luscinioides,A,432
Thick-billed Warbler,,Iduna aedon,A,433
Booted Warbler,,Iduna caligata,A,434
Sykes's Warbler,,Iduna rama,A,435
Eastern Olivaceous Warbler,,Iduna pallida,A,436
Olive-tree Warbler,,Hippolais olivetorum,A,437
Icterine Warbler,,Hippolais icterina,A,438
Melodious Warbler,,Hippolais polyglotta,A,439
Aquatic Warbler,,Acrocephalus paludicola,A,440
Sedge Warbler,,Acrocephalus schoenobaenus,A,441
Paddyfield Warbler,,Acrocephalus agricola,A,442
Blyth's Reed Warbler,,Acrocephalus dumetorum,A,443
Marsh Warbler,,Acrocephalus palustris,A,444
Reed Warbler,Eurasian Reed Warbler,Acrocephalus scirpaceus,A,445
Great Reed Warbler,,Acrocephalus arundinaceus,A,446
Fan-tailed Warbler,Zitting Cisticola,Cisticola juncidis,A,447
Cedar Waxwing,,Bombycilla cedrorum,A,448
Waxwing,Bohemian Waxwing,Bombycilla garrulus,AE,449
Wallcreeper,,Tichodroma muraria,A,450
Red-breasted Nuthatch,,Sitta canadensis,A,451
Nuthatch,Eurasian Nuthatch,Sitta europaea,A,452
Treecreeper,Eurasian Treecreeper,Certhia familiaris,A,453
Short-toed Treecreeper,,Certhia brachydactyla,A,454
Wren,Eurasian Wren,Troglodytes troglodytes,A,455
Northern Mockingbird,,Mimus polyglottos,AE,456
Brown Thrasher,,Toxostoma rufum,A,457
Grey Catbird,,Dumetella carolinensis,A,458
Starling,Common Starling,Sturnus vulgaris,A,459
Rose-coloured Starling,Rosy Starling,Pastor roseus,A,460
Dipper,White-throated Dipper,Cinclus cinclus,A,461
White's Thrush,Scaly Thrush,Zoothera dauma,A,462
Varied Thrush,,Ixoreus naevius,A,463
Wood Thrush,,Hylocichla mustelina,A,464
Hermit Thrush,,Catharus guttatus,A,465
Swainson's Thrush,,Catharus ustulatus,A,466
Grey-cheeked Thrush,,Catharus minimus,A,467
Veery,,Catharus fuscescens,A,468
Siberian Thrush,,Geokichla sibirica,AE,469
Ring Ouzel,,Turdus torquatus,A,470
Blackbird,Common Blackbird,Turdus merula,A,471
Eyebrowed Thrush,,Turdus obscurus,A,472
Dusky Thrush,,Turdus eunomus,A,473
Naumann's Thrush,,Turdus naumanni,A,474
Black-throated Thrush,,Turdus atrogularis,A,475
Red-throated Thrush,,Turdus ruficollis,A,476
Fieldfare,,Turdus pilaris,A,477
Song Thrush,,Turdus philomelos,A,478
Redwing,,Turdus iliacus,A,479
Mistle Thrush,,Turdus viscivorus,A,480
American Robin,,Turdus migratorius,AE,481
Rufous Bush Chat,Rufous-tailed Scrub Robin,Cercotrichas galactotes,A,482
Brown Flycatcher,Asian Brown Flycatcher,Muscicapa dauurica,A,483
Spotted Flycatcher,,Muscicapa striata,A,484
